Zip Code,Latitude,Longitude,Population, Avg_HH_Income ,National Rank
78730,30.363632,-97.850355,4885," $128,524 ",58
78732,30.382536,-97.894904,3629," $103,951 ",209
78739,30.178839,-97.889064,8643," $102,707 ",227
78748,30.159688,-97.823287,25361," $57,710 ","3,441"
78719,30.184794,-97.682619,1765," $36,480 ","15,557"
78705,30.293474,-97.738268,26825," $14,740 ","31,414"
78738,30.32751,-97.98904,2840," $102,295 ",231
78733,30.323857,-97.89486,8716," $102,239 ",232
78746,30.296951,-97.811647,26023," $100,571 ",255
78726,30.430488,-97.84253,6480," $89,891 ",462
78717,30.488309,-97.764829,8148," $87,290 ",546
78737,30.177041,-97.956661,7100," $87,029 ",555
78750,30.413499,-97.802001,23476," $78,428 ",914
78735,30.265993,-97.863894,9671," $75,204 ","1,099"
78734,30.376159,-97.946334,12925," $74,052 ","1,174"
78749,30.216168,-97.856006,28497," $68,244 ","1,718"
78727,30.4283,-97.718143,22212," $62,648 ","2,442"
78731,30.345211,-97.767455,24059," $62,404 ","2,481"
78736,30.250877,-97.96881,6897," $62,294 ","2,505"
78759,30.400789,-97.755969,40547," $61,284 ","2,701"
78747,30.12247,-97.74621,5079," $60,861 ","2,805"
78729,30.457246,-97.756419,24561," $59,497 ","3,110"
78703,30.294204,-97.765114,19585," $54,591 ","4,241"
78754,30.349483,-97.64039,5422," $51,810 ","5,136"
78728,30.453764,-97.686695,17298," $51,078 ","5,441"
78725,30.228676,-97.594967,1836," $47,076 ","7,170"
78757,30.351934,-97.732827,21415," $45,090 ","8,326"
78745,30.206806,-97.797108,53044," $43,458 ","9,241"
78758,30.387634,-97.70531,42820," $42,398 ","9,967"
78744,30.177015,-97.725888,33706," $38,256 ","13,682"
78753,30.380366,-97.674764,44210," $38,206 ","13,714"
78756,30.3222,-97.740236,7128," $36,978 ","14,980"
78724,30.297099,-97.617767,15428," $36,641 ","15,389"
78722,30.293272,-97.709068,6365," $35,794 ","16,472"
78701,30.271653,-97.741553,3855," $35,757 ","16,509"
78704,30.243128,-97.765874,43249," $35,733 ","16,555"
78723,30.305341,-97.683344,30110," $34,242 ","18,353"
78752,30.331288,-97.70466,18030," $30,207 ","23,385"
78751,30.310819,-97.722821,14005," $29,779 ","23,850"
78742,30.239436,-97.67142,625," $28,281 ","25,395"
78721,30.269811,-97.683126,10124," $26,646 ","26,985"
78741,30.229845,-97.715136,40661," $25,369 ","27,988"
78702,30.263909,-97.714495,22534," $23,348 ","29,175"
